کد,عنوان,تلفن,آدرس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100039,بازار روز جماران- 10546,9197263343,خیابان نیاوران- نرسیده به كلانتری -خیابان جماران-غرفه 7/م1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100040,بوفه تک ولنجک- 10701,9197532491,دانشگاه بهشتی خ بانك ملی جنب سلف دانشجویی آقایان_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100041,بازار روز فرمانیه- 10714,9197846889,فرمانیه خ لواسانی نبش خ آقایی بازار روز فرمانیه غرفه 45 م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100042,سوپر زیتون تجریش- 10222,9352781647,اول خ سعدآبادپ2_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100043,بوفه حقوق دانشگاه شهیدبهشتی- 10412,9360621407,دانشگاه حقوق (برزگر)_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100044,سوپر اوین درکه {تره باردرکه}- 10250,09372388077/22183155 ,ولنجك میدان دانشجو-خیابان اوین دركه-بازار روز دركه پلاك2_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100045,بازار روز ولنجک- 10203,9107587275,ولنجك-بلوار دانشگاه-میدان تره بار-غرفه شماره17_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100046,دانشکده علمی کاربردی- 10292,9388794690,تجریش-خیابان دربندی-جنب مدرسه همت.م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100047,سوپر خانواده م نوبنیاد- 10508,26101208,خ لنگری شهرك چمران بازارچه الغدیر پ28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100048,سوپر مهدی م نوبنیاد- 10506,20101481,خ لنگری شهرك چمران بازارچه الغدیر پ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100049,فروشگاه قیدی نژاد- 10041,20108200,دارآبادایستگاه مدرسه روبرویمسجد_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100050,لبنیات جمال- 10030,20108863--26108863,دارآباد-ایستگاه -مدرسه -پلاك- 105_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100051,سوپر ساحل دارآباد- 10143,20109709,دارآبادایستگاه مدرسه پائین بیمارستان خ هاشمی پ28_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100052,سوپر امیر دارآباد- 10020,20109783,دارآباد روبروی میدان دارآباد_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100053,سوپر لبخند فرشته- 10382,22007006,بزرگراه مدرس ورودی الهیه بلوارآفریقاكوی الهیه  خ ماهروپ6_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100054,سوپر ساحل اقدسیه- 10443,220109709,بلوار اوشان خ هاشمی پ28_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100055,سوپر مارکت  جوانان - 10708,22011499,4راه پارك وی-چمران به سمت جنوب-لاین كندروخ جوانان-پلاک25_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100056,سوپر مارکت میلاد- 10217,22015484*22669373*,ولیعصر بلاتر از پارك وی نبش خیابان فیاض(فرشته)- پلاك 27_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100057,سوپر جهانگیر زعفرانیه- 10199,22015700/22051055 ,خ مقدس اردبیلی خ محمودیه روبروی خ چنگیزی_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100058,سوپر بهروز الف- 10073,22017679,مقدس اردبیلی نرسیده به میدان الف روبروی بانك ملت_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100118,سوپر مارکت پاشا- 10640,22206512,خیابان کریمی- خ عباسی-خ قاسمی- پلاک15_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100119,سوپر مارکت خانی(سلیمانی)- 10083,22207385,میدان چیذر-جنب بانك صادرات-نبش خیابان سلیمانی-پلاك 1 _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100120,سوپر مهدیزاده قیطریه - 10496,22207634,بلواراندرزگو خ یدا سلیمی كوچه مهدیزاده پ15_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100121,سوپر قدیانی 262- 10087,22208310,شریعتی خ قیطریه پ84_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100122,سوپر پگاه_خجیر شریعتی - 10391,222087065,بلوارصبااول خ قیطریه روبروی تعمیرگاه سایپا_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100123,سوپر تبریزیان خ شریعتی شمالی- 10601,22209787,بعدپل صدرجنب باشگاه چهران کوچه سمیاری پ22_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100124,سوپر مارکت تبریزیان- 10758,22209788,شریعتی-بالاترازپل صدر-کوچه سمیاری-پلاک22-م..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100125,سوپر مارکت تک فرشته- 10208,22210688,میدان تجریش خیابان دربندی - خیابان دكتر حسابی -پلاك13_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100126,سوپر آذوقه اتوبان صدر غرب- 10555,22211474,قیطریه خ روشنایی ضلع جنوب پارك قیطریه ك قیطریه جنوبی پ7/م1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100127,سوپر پویا پ60- 10078,22212173,خ فرشته آخر آقابزرگی تقاطع اكبری پ60_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100128,سوپر مارکت رومی- 10135,22212190,شریعتی خ قیطریه روبروی تعاونی اعتباری شهر_نیروگاه-پ181..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100129,سوپر مارکت قائم- 10579,22212636,قیطریه-چیذر-میدان چیذر-خیابان مهدی چیذری-پلاک35  _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100130,سوپر مارکت براداران {قربانی}- 10589,22212824,میدان تـجـریش - خیابـان دربــنــدی (مقصودبیک)- پلاك16 _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100131,سوپرمارکت قدح- 10048,22213647,خیابان قیطریه-خیابان برادران سلیمانی-نبش كوچه گل میخك _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100132,سوپرمارکت نیک- 10768,22213938,تجریش-خیابان دربندی-نبش اکبری..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100133,سوپر امین قیطریه - 10244,22214017,چیذرخ حكمت نعمتی پ22_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100134,سوپر مینو چیذر- 10091,22214200,قیطریه خ حكمت نرسیده به میدان چیذر_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100135,سوپر مارکت سهیل (قیطریه)- 10185,22214322&22696889&,قیطریه-بلوار صبا-خ فاطمیه(سهیل)-نبش-خیابان مهراول غربی_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100136,سوپر دهکده چیذر- 10698,22214877,امامزاده علی اكبرضلع جنوبی امامزاده بلوارهاشمی علیاپ4_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100137,سوپر مارکت  ارکیده- 10432,22215066,خیابان بوعلی- بعد دانشگاه آزاد- جنب بانك ملی-پلاك40_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100138,سوپر سهیل دریانی- 10085,22215292,قیطریه-بالای بولینگ عبدو خ سهیل پاساژ سهیل_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100139,سوپر ارشیا چیذر- 10428,22215802,م امامزاده خ بهمن پور پ42_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100140,سوپر داریان- 10113,22215854,خ دكتر لواسانی(فرمانیه)اول خ نبش كوچه_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100141,سوپر مارکت حسابی- 10381,22215932,میدان تـجریش- خیابان دربندی-خیابان دكتر حسابی-پلاك 26_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100142,سوپرمارکت جبلی (قیطریه) - 10436,22216704, قیطریه-بلوار حكمت-نبش كوچه قوام-پلاک145_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100143,سوپر مارکت قائم- 10009,22217373_22209098,شریعتی-بالاتر از بلوار صبا- جنب ایستگاه پل رومی-پلاك1739م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100144,سوپر اربابی الهیه- 10132,22217609-- 22679295,تجریش - خ دربندی - خ پروفسور حسابی - نبش ك اربابی - پ 1 - م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100145,سوپر مارکت نیک- 10668,22217938,میدان تجریش-انتهای خیابان مقصودبیك-نبش خیابان حسابی-پلاك2_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100146,سوپر مارکت مجد- 10551,22218335,خیابان شریعتی- پل رومی- خ قیطریه بلوار صبا نبش فاطمیه پ33/م1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100147,سوپر مارکت علیزاده- 10430,22219037,قیطریه  بلواركاوه -خیابان روشنایی غربی- بهار شمالی پلاك 3_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100148,سوپر مارکت گل منش- 10044,22231167,قیطریه-خ مهر محمدی جنوبی-نرسیده به پارك قیطریه-نبش ذاکری_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100149,سوپر پروتئین الهیه- 10077,22231315/22217487 ,بالاتر از پارك وی-خ فرشته-خ آقا بزرگی-نبش استانبول-پلاك56_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100150,سوپر مارکت بزرگ قیطریه - 10675,22231463,قیطریه-خیابان كتابی-كوچه قاسمی-شهید فولادوند-پلاک14_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100151,سوپر فاطمیه دریانی (مهر)- 10084,22231914,شریعتی-خیابان سهیل-خیابان فاطمیه -نبش مهر 3-پلاك15_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100152,سوپر مارکت تک- 10284,22232060,کامرانیه جنوبی-چیذر-خیابان بهمن پور-پلاک 59..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100153,سوپر مارکت یاران دریان (چیذر) - 10016,22232084*22212383*,چیذر_ خ هاشمی.علیا.روبروی بانك مسكن قبل م ندا-پلاک25_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100154,پروتئین الهیه خ فرشته- 10007,22232325,خ فرشته خ آقابزرگی روبروی خ استانبول_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100155,سوپر مارکت کاظمی - 10452,22232429,داخل پل رومی-خیابان اكبری خ-استابولی خ حافظ خ لطیفی پ14_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100156,سوپر ایمان قیطریه- 10194,22232578,خ سلیمانی پ95_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100157,سوپرمارکت  تک(اطمینان)- 10423,22233234 & 22687323,شریعتی-بالاتر ازصدر-خیابان میرزاپور-خ سهیل-پاساژ سهیل-پ11_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100158,سوپر  آزادگان اتوبان صدرغرب- 10600,22233334,انتهای بلوار كاوه-ابتدای خیابان قیطریه- پلاك 40_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100159,سوپر هاشمی چیذر- 10699,22233433,ضلع جنوبی امامزاده بلوارهاشمی علیا_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100160,خانم خلیلی- 10761,22233501,خ شریعتی-بعدازپل صدر-خ میرزاپور-مهددوم غربی-طبقه اول پ30..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100161,سوپر ستاره آبی قیطریه - 10420,22233926,جنب كوی محمودیان پ43_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100162,سوپر مارکت اژدری- 10010,22234597,خیابان شریعتی-خیابان واعظی-نبش اثباتی- پلاک64_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100163,سوپر مارکت ت.ک- 10471,22234674,میدان قدس-خیابان دزاشیب-خیابان كریمی قبل سفارت قبرس پ206_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100164,سوپر مارکت باقری- 10421,22234941*22246239*,قیطریه -خیابان  روشنایی -خیابان صفا -پلاك 5_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100165,سوپر مارکت کامرانیه- 10053,22235673,میدان چیذر-بعد امامزاده -خیابان معصومی-پلاك20_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100166,خشکبار تبریز قیطریه- 10558,22236033,بالاترپارك قیطریه خ برادران سلیمانی شرقی(حكمت)مانده به م پ44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100167,سوپر مارکت اسماعیلی (قیطریه )- 10467,22236108,ابتدای خ سلیمانی غربی(حكمت)-جنب مسجد صاحب الامر-پلاک113_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100168,سوپر مارکت ثابتی- 10434,22236787,بلوار اندرزگو-خ شهیدمهرمحمدی بعدمسجد نبش كوچه یعقوبی پ31..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100169,سوپر آریا آخربلوار کاوه- 10456,22237139,خ احمد گودرزی پ26_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100170,سوپر مارکت پارسیان تجریش- 10396,22237182,تجریش خ دزاشیب خیابان كریمی خیابان  سلیمی شمال پلاك 105_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100171,سوپر مارکت آی ت..ک- 10743,22237418,چیذر-میدان نـــــدا-ابتدای خیابان سلیمی-پلاك 15...م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100172,سوپر مارکت دستور (قیطریه)- 10086,22237428, قیطریه-بلوار صبا-خیابان فاطمیه-خیابان مهر اول شرقی-پ2_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100173,سوپر مارکت عزیزی- 10749,222388524,نیاوران-میدان جماران-كوچه سبزی-روبروی كلانتری-پلاك23.....م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
