کد,عنوان,تلفن,آدرس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800284,سوپر فدک رسالت - 80204,77827478,خ مدنی پایین 4راه گلبرگ روبروی خ 130 پ260(احمدی)_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800285,فروشگاه برگ سبز- 80021,77827735,خ جانبازان غربی -خ كرمان جنوبی- نبش ابراهیم نژاد- پ22_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800286,سوپر میکائیلیان نارمک پ13- 80548,77827762,خ گلستان تقاطع مسیل باخترپ13_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800287,فروشگاه میکائیل- 80020,77828155,خ گلبرگ غربی خ ابراهیم نژاد نبش كوچه خداشناسی پ199_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800288,فروشگاه محمد- 80335,77829037,خ كرمان جنوبی-خ عباسی- نبش کوچه تكه -پلاک71_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800289,سوپر مولانا - 80091,77829556,خ جانبازان غربی خ كرمان بین خ احمدی وعادل زادپ31_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800290,سوپر مارکت کیامکی- 80639,77830658,46 متری نارمک-خیابان غیاثی پور-پلاک6.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800291,سوپر مارکت دخیلی- 80658,77830669,مجیدیه-خیابان اثنی عشری-خیابان رحمتی-پلاک7.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800292,سوپر مارکت متین - 80622,77830830,کرمان جنوبی نبش سهیل پ11....م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800293,سوپر مارکت گل- 80219,77831081,دماوند-خیابان وحیدیه-میدان تسلیحات-جنب سنگكی-پلاک55_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800294,سوپر مارکت نوایی- 80635,7783233,نارمک-سنمگان-نبش ارشی-پلاک154  .م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800295,سوپرمارکت پرشین- 80679,77832419,خ دماوند خ افشاری پ 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800296,سوپر یزدی تهران نوخ داودارمغان- 80707,77832984,روبروی كوچه فرهنگیان پ75_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800297,سوپر صافی 46متری شرقی نارمک- 80383,77833185,خ شهید اسمی ضلع غربی م 86/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800298,سوپر بابک خ تهران نو(دماوند)- 80200,77833415,م تسلیحات نبش كوچه كریمی پ19_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800299,سوپر مارکت محله- 80654,77833655,خ گلستان-خ غیاثی پور-خ نادی-م 90-جنب بن بست باوند -پ249.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800300,سوپر مارکت باران- 80714,77833715,46متری نارمک-میدان 86 _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800301,سوپر پروتئین آندره 46متری نارم- 80712,77834884,خ سهیلیان خ84 پ28_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800302,سوپر نوایی خ سمنگان- 80300,77835232,نبش خ ارشی پ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800303,سوپر مارکت اخوان حسینی- 80661,77835429,رسالت-خ مدنی-بعداز جانبازان-خ عالم و نجف آبادی-پلاک3.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800304,سوپر صاحب الزمان رسالت - 80206,77835500,مدنی پایین گلبرگ نبش خ 136 پ1_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800305,سوپر اعیانی م رسالت- 80538,77835822,خ شهیدمدنی بعد4راه گلبرگ نبش خ134پ161_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800306,سوپر مارکت باختر- 80223,77837116, تهران نو-نارمک-مسیل باختر-نبش-خ84(اسمی) پ2_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800307,سوپر دریا تهران نو- 80294,77837316,وحیدیه نبش ک شهید درویش پ28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800308,سوپر پاک گلبرگ غربی- 80315,77837516,خ كرمان جنوبی خ اكبر عباسی روبه رو پارك پ102_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800309,سوپر مارکت  یکتا (تیراژه)- 80539,77838465,رسالت-بعد4راه گلبرگ-خ مدنی روبروی زمین فوتبال فدك-پ1292_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800310,سوپر کیوان خ سمنگان- 80301,77838730,هلال احمر-خ گلستان-خ سهیلیان-خ رمضانی-پلاک22.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800311,سوپر حاتم تهران نو- 80220,77839602&77266067,خیابان  زركش- نبش محمدهاشمی -پلاک135_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800312,سوپر قاسمی خ مدنی- 80542,77840293,خ بزرگیان روبروی مجتمع مسكونی رسالت نبش خ میرزایی پ22_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800313,سوپر مارکت ایرانیان- 80648,77840695,کرمان جنوبی-گلبرگ غربی-خیابان ابراهیم نژاد-نبش دانی-پ69/1 م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800314,سوپر سامان سمنگان- 80527,77841489,كوچه مسجدجامع- پشت مسجدجامع سمنگان -پلاک10_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800315,سوپر آرگن خ مجیدیه جنوبی - 80440,77842273,16متری دوم مقابل كوچه5 پ75_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800316,سوپر 96 خ دماوند- 80436,77842280,مسیل باختر خ میرحسینی پ996 بعداز ک هاشمی(آقای تبریزی)_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800317,سوپر قیصر خ تهران نو(دماوند)- 80196,77842808,خ وحیدیه روبروی كوچه شفیعی پ354_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800318,سوپرمارکت شیرین- 80649,77844057,نارمک-خیابان ثانی-خیابان رحیم اسمی-نبش تاج الدین.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800319,سوپر مارکت مارال- 80664,77847101,میدان هلال احمر-خیابان گلستان-خ سهیلیان-بعداز خ اوشی-پ244.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800320,سوپر سادات رسالت- 80288,77848804,مجیدیه جنوبی خ کرمان جنوبی ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800321,سوپر عباسیان نارمک - 80254,77848913,46متری خ غیاثی پور شمالی نبش قنبریان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800322,سوپر مارکت زیتون- 80291,77848930,مسیرباخترخ زرکــش میرحسینی نبش آوان سیا پلاک66...م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800323,سوپرمارکت شیرین- 80537,77849017,میدان رسالت-خیابان مدنی-پایین 4راه گلبرگ-كوچه136-پلاک145_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800324,سوپر خلیج 2 - 80330,77849428,خ بخت آزاد نبش ك شهید عسگری پ161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800325,سوپر پروتئین پایتخت- 80312,77849815,46متری غربی ابتدای سهیلیان شمالی پ187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800326,نمایندگی پگاه- 80135,77856127,تهران نو-قبل از وحیدیه-جنب نمایندگی سایپا_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800327,اتحادیه سوپر مارکتهاخ تهرانو- 80176,77858623,نبش اتوبان باقری جنب استخر _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800328,سوپر سیتی مارکت- 80518,77860042,تهرانپارس-خیابان رشید-نبش خیابان144(ستانی)-پلاک93_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800329,فروشگاه تک بهار- 80118,77861901,تهرانپارس فلكه اول خ بهار تقاطع113پ62_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800330,سوپر برادران دریانی تهرانپارس - 80275,77862163,خ بهار  خ 113 نبش خ 130 پ48_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800331,سوپر پالیز تهرانپارس- 80346,77862280,خیابان رشید- نبش 156 غربی- پ175/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800332,سوپر کندوفلکه اول تهرانپارس- 80561,77863826,خ رشیدنبش 44غربی جنب پیتزاكندو_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800333,سوپر 109 دریانی تهرانپارس- 80470,77864402,خیابان بهار خیابان 109 نبش خیابان 128(باقرآذری) پلاك25 _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800334,سوپرمارکت بهار 113 - 80231,77864507,تهران پارس-خیابان بهار- خیابان 113-بین خ128و خ126..م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800335,سوپر مارکت عدالت- 80331,77864538 & 77715144,تهرانپارس- خیابان رشید -بین156و154غربی- پلاک165_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800336,سوپر رشید- 80334,77865260,تهران پارس خ رشید بین 144و148غربی پ103/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800337,سوپر اطمینان دماوند- 80719,77865905,قبل 3راه تهرانپارس خ ملکی 111نبش 132نقی نیا_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800338,فرشگاه مقدم آقای مقدم- 80059,77867886,خیابان طائفه-خیابان رشید جنوبی-بعداز حسینی-پلاک31.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800339,سوپر پرفور تهرانپارس- 80421,77869580,خ برادران صادقی (113) ازسمت خ دماوند نبش 138 پ55 _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800340,سوپر شیرین عسل تهرانپارس پ22- 80475,77870960,ضلع جنوب غربی(پایین فلكه اول) فلكه اول جنب بانك ملی پ22_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800341,سوپر احسان آقای قادری- 80049,77871932,تهرانپارس خ رشیدجنوبی بین154و152غربی پ100_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800342,سوپر مارکت زیتون- 80232,77872032,تهرانپارس-خیابان بهار-خیابان ملکی-نبش132 .م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800343,سوپر مارکت تهرانپارس- 80407,77874422,فلكه اول خ154شرقی پ36/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800344,سوپر مارکت شرق حمیدی- 80342,77877901,تهرانپارس-فلكه اول خ146شرقی نبش خ121پ14/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800345,سوپر قصران تهرانپارس- 80528,77878056,فلكه اول خ142شرقی قانع جلودبستان هاشمی نژادپ33_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800346,سوپر مارکت سیب- 80602,77878409,تهرانپارس-رشید شمالی-نبش 160-روبروی بیمارستان آرش مهر-پ17.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800347,سوپر زیتون آخرخ گلستان - 80490,77878930,جنوب پارك تسلیحات خ زركش نبش كوچه آواسیان_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800348,سوپر آذربایجان غربی تهرانپارس - 80276,77881289& 77881286,خیابان بهار-خیابان 113 - نبش 126 غربی- پلاک38_م 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800349,سوپر غرفه5- 80306,77881697,خ رسالت بین باقری و رشید مركز خرید رضا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800350,سوپر برادران تهرانپارس- 80344,77882350,فلكه تهران پارس خ142غربی خ زرین جنوبی نبش 56...م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800351,سوپر حقیقت تهرانپارس- 80474,77882933,خ حجرین عدی بین فلكه اول و4راه تیراندازنبش خ نوكارپ72_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800352,سوپر مارکت آریا- 80273,77885310,خیابان طائفه-خیابان صادقی شمالی-بعداز خ 152 غربی-پلاک131.م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800353,سوپر پروتئین مکث تهرانپارس- 80277,77885555,خ رشید بین 148 و150 پ 135_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800354,سوپر یاس تهران پارس- 80333,77886050,خ رشید تقاطع بهار و شیراز پ27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800355,سوپر مارکت سبلان- 80727,77886057,تهرانپارس خ رشید جنوبی - تقاطع بهار پ27_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800356,سوپر پروتئین پائیزا- 80670,77887518,فلکه اول تهرانپارس پروین نبش خ 150 شرقی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800357,سوپرمارکت عسل- 80671,77887625,فلکه اول تهرانپارس خ حجر بن عدی شمالی بعد از خ 150 شرقی پ 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800358,سوپر بهارآقای قره گوزلو- 80060,77888627,تهرانپارس خ بهارنبش109 پ208_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800359,سوپر مارکت راستین- 80476,77889169 &77709383,خ گلبرگ شرقی- خ113شمالی- نبش 152غربی-پ75_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800360,سوپر نارنج تهرانپارس- 80119,77889446,فلكه اول تهرانپارس خ رشیدروبروی رستوران كندوپ95_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800361,سوپر سینا نارمک خ دردشت- 80215,77890148,4راه گلبرگ مقابل خ 70پ428_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800362,سوپر صدف رسالت بعد از خ آیت- 80324,7789066,نرسیده به چ دردشت خ رودباری پ509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800363,فروشگاه پائیز- 80015,77890884,خ آیت گلبرگ شرقی نبش میدان 33پ451_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800364,فروشگاه صدم حامدیان- 80063,77892077,چهاراه فرجام میدان صدركوچه32شرقی پ31_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800365,سوپر مارکت گلپا لبن(پروتئین)- 80596,77892499,نارمك_خ دردشت_بالاتر از گلبرگ_بهد از خ_اولیایی پ 472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800366,سوپر مارکت هاشمی- 80281,77894945,خیابان مدائن-نبش خیابان خاموشی-پلاک283_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800367,سوپر ساحل رسالت- 80144,77895572,رسالت چهاراه سبز خ دمیرچی روبروی كوچه حافظ_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800368,سوپر صدف نارمک خ شهید رودیاری- 80697,77896066,پ508 روبه روی نانوایی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800369,سوپر سامان بزرگراه رسالت- 80521,77896308,بعدمیدان رسالت نبش خ بختیاری پ736_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800370,فروشگاه نجف آبادی- 80028,77897140,م رسالت اول خ سمنگان نبش خ 116پ597_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800371,سوپر علی 46 متری نارمک- 80321,77897802,مدائن شمالی انتهای خ حافظ پ32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800372,سوپر مارکت سلطانی- 80374,77897851,بین خ بختیاری و آیت خ49(شهید غیبی) پ59/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800373,سوپر مارکت 74 - 80092,77898080,میدان هفت حوض گلبرگ غربی نبش میدان 74 پلاک119_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800374,سوپر مارکت نسیمی - 80487,77898684,نارمك-مدائن شمالی-خیابان اخلاقی-روبروی میدان22-پلاک50_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800375,سوپردریا (صمدی)- 80064,77898867,خ هنگام خ دانشگاه علم وصنعت جلو درب اصلی دانشگاه پ4_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800376,سوپر کوزه کنانی م رسالت- 80557,77899140,اول خ سمنگان نبش خ116شرقی پ597_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800377,سوپر دنیزرسالت- 80498,77899874,خ شهیدبختیاری نبش 4راه بهمن پ278_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800378,سوپر مهستان- 80726,77900013,مسیل باختر خ گلستان خ شهیدمحمدثانی خ سمنگان پ 371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800379,سوپر آذربایجان رسالت پ235- 80585,77900126,خ آیت بالاترازچهارراه تلفنخانه پ235_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800380,سوپر مرکزی نارمک- 80357,77900220,خ آیت شمالی قبل میدان 7وض یعد خ فرامرز ابراهیم پ491_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800381,سوپر مهدی تهرانپارس پ97- 80480,77900222,خ105جنب بانك صادرات پ97_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800382,سوپر مهدی خ دماوندپ97- 80721,77900292,خ صدر 5 جنب بانک صادرات پ97_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800383,سوپر مارکت چهار- 80143,77900499,خ ثانی-خ سمنگان-خ رحیمی-میلان73-پ91-م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800384,سوپر 555دریانی خ آیت- 80127,77900830,خ آیت نبش خ ابراهیم پ489_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800385,سوپر مارکت فرهادرسالت- 80136,77900988,بعدازم رسالت-خ مدائن-خ رضوان شرقی-خ محقق امین-خ دلاور-پ37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800386,سوپر آنا نارمک گلبرگ- 80466,77901003,گلبرگ شرقی بین مهرو مدائن ورودی م 20 پ570  _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800387,سوپر تبریزیان خ بهار- 80174,77901073,تهران پارس نرسیده به فلكه اول خ107{ بهار } نبش خ 130پ54_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800388,سوپر پویا- 80562,77901530,چهاراه كامیاب م2_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800389,سوپر مارکت صدف(نظرلو)- 80280,77901600--77941700,رسالت-خیابان مدائن جنوبی-نبش رضوان شرقی-پلاك212 _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800390,سوپر شقایق نارمک - 80452,77901642,خ دردشت جنوبی نرسیده به چهارراه گلبرگ پ378 _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800391,سوپر شقایق هفت حوض- 80258,77901867,خ آیت خ جویبارغربی پ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800392,سوپر مرجان خ آیت جنوبی - 80230,77902311,خ مرجان بین چمن وجویبار شرقی پ80_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800393,سوپر مارکت برادران- 80402,77902792,نارمك خ آیت انتهای خ رضوان غربی نبش تقاطع خ بختیاری پ56/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800394,سوپر نوین خ دماوند- 80434,77902885,بعداز پل تهران نو خ طاهری پ52  (آقای رضایی)_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800395,فروشگاه دریانی شفیعی- 80017,77903108,خ دماوند -آیت _چمن غربینبش میدان 50پ28_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800396,سوپر مسعود رسالت- 80326,77903354,46متری نارمك خ رودباری پ256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800397,تعاونی فرهنگیان - 80672,77903399,رسالت بعد از میدان رسالت خ رودباری خ آگاه م 9 پ 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800398,سوپر 103تبریزیان- 80332,77903419,تهران پارس خ103پ17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800399,سوپر نیک خ آیت- 80123,77903479,خ آیت خ چمن غربی قبل خ بختیاری پ102_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800400,سوپر مدائن نارمک خ مدائن- 80387,77903644,بعد از خ دفارزاده پ168/م8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800401,سوپر مارکت سعید(میرازیی)- 80352,77903986,بین خ مهرو مدائن خ 23 میدان 19 پ74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800402,فروشگاه آیدا (جهانبانیان)- 80080,77904088,خ آیت نبش خ ملایری پ52_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800403,فروشگاه پاک لبن- 80077,77904089,نارمک-خ آیت-پایین چهاراه تلفن خانه-جنب بانک مسکن-پلاک202_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800404,سوپر مارکت حمیدیا- 80414,77904407,نارمک خ گلبرگ شرقی-خ ایت -جانبازان غربی-نبش میدان73-پ142_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800405,سوپر پروتئین میکائیلیان نارمک- 80522,77904436,میدان 7حوض گلبرگ غربی نبش میدان62پ62_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800406,سوپر بقیه الله نارمک - 80411,77904704,خ 46متری شرقی خ كربلائی مهریزی پ60 _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800407,سوپر تک محبت نارمک- 80424,77906912,خ دردشت جنوبی بین صبوری پ46 (آقای تقی لو) _م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800408,سوپر بیهق پ29- 80082,77907073,خ مهر جنوبی خ دقیقی پ29_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800409,سوپر راد نارمک گلبرگ غربی- 80244,77907191,م73كوچه نوری پ81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800410,سوپر برادران خ آیت- 80322,77907859,4راه تلفن خانه 46متری شرقی م40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800411,سوپر 110باتیستاخ جانبازان- 80563,77908048,بین دردشت وباقری خ ضعیف پ14_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800412,سوپر تبریزیان نارمک- 80491,77908131,46متری شرقی خ كریمی پ9_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800413,سوپر صدف نارمک 46متری شرقی- 80218,77908428,نبش كوچه مهریزی پ130_م8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30800414,سوپر صدف 46 متری نارمک- 80252,77908652,بین طاهری و گلزار پ372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
